Disease,Genes,id,did,Summary
2-hydroxyglutaric aciduria,"['SLC25A1', 'L2HGDH']",MESH:C535306,DOID:0050573,An amino acid metabolic disorder that is an autosomal recessive neurometabolic disorder characterized by the significant elevation of urinary levels of hydroxyglutaric acid causing progressive brain damage.
3-M syndrome,"['CCDC8', 'OBSL1', 'CUL7']",MESH:C535314,DOID:0060241,"A syndrome characterized by dwarfism, facial dysmorphia and skeletal abnormalities."
3-Methylcrotonyl-CoA carboxylase 1 deficiency,['MCCC1'],MESH:C535308,DOID:0080579,A 3-Methylcrotonyl-CoA carboxylase deficiency that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding the alpha subunit of 3-methylcrotonyl-CoA carboxylase on chromosome 3q27.
3-Methylcrotonyl-CoA carboxylase 2 deficiency,['MCCC2'],MESH:C535309,DOID:0080580,A 3-Methylcrotonyl-CoA carboxylase deficiency that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding the beta subunit of 3-methylcrotonyl-CoA carboxylase on chromosome 5q13.
3-methylglutaconic aciduria type 1,['AUH'],MESH:C562801,DOID:0110002,A 3-methylglutaconic aciduria that has_material_basis_in homozygous or compound heterozygous mutation in the AUH gene on chromosome 9q22.
46 XX gonadal dysgenesis,"['SPIDR', 'ZSWIM7', 'FSHR']",MESH:D023961,DOID:14450,"A gonadal dysgenesis that is characterized by the lack of functional ovaries to induce puberty in an otherwise 46,XX female."
"46,XY sex reversal","['SRY', 'DHH']",MESH:D006061,DOID:14448,"A gonadal dysgenesis that is characterized by a normal 46,XY karyotype along with a progressive loss of germ cells on the developing gonads of an embryo."
"46,XY sex reversal 5",['CBX2'],MESH:C567766,DOID:0111776,"A 46 XY sex reversal characterized by an XY karyotype, phenotypically female genitalia and failure to develop secondary sexual characteristics at puberty including menstruation that has_material_basis_in homozygous or compound heterozygous mutation in the CBX2 gene on chromosome 17q25.3."
ABCD syndrome,['EDNRB'],MESH:C535334,DOID:0050600,"A syndrome that is characterized by albinism, black lock, cell migration disorder of the neurocytes of the gut and sensorineural deafness and has_material_basis_in a mutation in the endothelin B receptor gene (EDNRB)."
ACTH-secreting pituitary adenoma,['USP8'],MESH:D049913,DOID:7004,A functioning pituitary adenoma that characterized by excess cortisol a primary cause of Cushing's syndrome.
Abruzzo-Erickson syndrome,['TBX22'],MESH:C535559,DOID:0111826,"A syndrome characterized by cleft palate, coloboma, hypospadias, deafness, short stature, and radial synostosis that has_material_basis_in hemizygous mutation in the TBX22 gene on chromosome Xq21.1."
Addison's disease,"['HLA-DRB1', 'CIITA', 'PTPN22', 'CLEC16A']",MESH:D000224,DOID:13774,An adrenal cortical hypofunction that is characterized by insufficient steroid hormone production by the adrenal glands.
Alagille syndrome,"['JAG1', 'NOTCH2']",MESH:D016738,DOID:9245,A liver disease that is characterized by an accumulation of bile in the liver resulting from a reducted number of liver small bile ducts.
Aland Island eye disease,['CACNA1F'],MESH:C562664,DOID:0050630,"An eye disease characterized by fundus hypopigmentation, decreased visual acuity, nystagmus, astigmatism, myopia and defective darkness adaptation and has_material_basis_in mutation in the CACNA1F gene."
Albright's hereditary osteodystrophy,[],MESH:C537045,DOID:0080053,"An pseudohypoparathyroidism that has_material_basis_in lack of responsiveness to parathyroid hormone which results in shortening and widening of long bones of the located in hand or located in foot along with short stature, obesity, and rounded face."
Alexander disease,[],MESH:D038261,DOID:4252,A leukodystrophy that is characterized by the destruction of white matter and the formation of Rosenthal fibers consisting of abnormal clumps of protein that accumulate in astrocytes.
Allan-Herndon-Dudley syndrome,['SLC16A2'],MESH:C537047,DOID:0050631,A syndrome that has_material_basis_in mutation at is in the gene encoding the monocarboxylate transporter-8 which alters the structure and function of the SLC16A2 protein which is then unable to transport the thyroid triiodothyronine (T3) hormone into nerve cells of the developing brain affecting normal brain development resulting in intellectual disability and problems with movement.
Alpers-Huttenlocher syndrome,[],MESH:D002549,DOID:0080122,"A mitochondrial DNA depletion syndrome that is characterized by a clinical triad of psychomotor retardation, intractable epilepsy, and liver failure in infants and young children, and has_material_basis_in autosomal recessive inheritance of homozygous or compound heterozygous mutation in the nuclear gene encoding mitochondrial DNA polymerase gamma on chromosome 15q26."
Alport syndrome,"['COL4A5', 'HLA-DRB1', 'COL4A3']",MESH:D009394,DOID:10983,"A syndrome disease that is characterized by glomerulonephritis, endstage kidney disease, and hearing loss."
Alstrom syndrome,['ALMS1'],MESH:D056769,DOID:0050473,"A syndrome that is characterized by multiorgan dysfunction. The key features are childhood obesity, blindness due to congenital retinal dystrophy, and sensorineural hearing loss with autosomal recessive inheritance and has_material_basis_in mutations in the ALMS1 gene."
Alzheimer's disease,"['PCK1', 'KLK6', 'C2', 'GSTM3', 'PARP1', 'BCHE', 'KLC1', 'VEGFA', 'HLA-DRB1', 'SOD2', 'GSS', 'ACHE', 'APOC1', 'TPH1', 'MAOA', 'KCNMA1', 'CTSD', 'GSK3B', 'NECTIN2', 'ESR2', 'GLUL', 'ADAM17', 'AGTR1', 'IL4', 'ICAM1', 'PSEN1', 'ALDH2', 'CYP19A1', 'ABCA1', 'IL6R', 'TFAM', 'TLR4', 'GRN', 'PPARA', 'LDLR', 'NGFR', 'IGF1', 'MBL2', 'CDK5', 'APOA1', 'GSTP1', 'IL2', 'IGFBP3', 'ABAT', 'AGER', 'IL1B', 'PON1', 'CYP46A1', 'GAPDHS', 'A2M', 'MME', 'MT3', 'PLAU', 'PIK3R1', 'HTR6', 'NCF2', 'GRIN2B', 'BDNF', 'PSEN2', 'STAT3', 'EIF2AK2', 'LIPC', 'PON3', 'IL10', 'UCHL1', 'IREB2', 'LRP8', 'PNMT', 'HSPA1B', 'ENO1', 'LRP1', 'NOS3', 'NCSTN', 'GAPDH', 'GCG', 'XRN1', 'APBB2', 'NTRK2', 'WT1', 'FAS', 'NFE2L2', 'GSTT1', 'LPL', 'NTF3', 'S100B', 'GSTO1', 'EIF2S1', 'EPO', 'C3', 'SORL1', 'PPP3R1', 'NOS1', 'CLOCK', 'CDK5R1', 'BACE2', 'MCM2', 'FYN', 'ADRA1A', 'LRPAP1', 'DLST', 'CHAT', 'SERPINE2', 'IL1A', 'ADRB3', 'VLDLR', 'RCAN1', 'BACE1', 'TAP2', 'PPP2R2B', 'HSPA1A', 'ESR1', 'APOA4', 'PPARG', 'CASP7', 'PON2', 'APBB1', 'HMGCR', 'MAOB', 'UQCRC1', 'NEFM', 'NTRK1']",MESH:D000544,DOID:10652,"A tauopathy that is characterized by memory lapses, confusion, emotional instability and progressive loss of mental ability and results in progressive memory loss, impaired thinking, disorientation, and changes in personality and mood starting and leads in advanced cases to a profound decline in cognitive and physical functioning and is marked histologically by the degeneration of brain neurons especially in the cerebral cortex and by the presence of neurofibrillary tangles and plaques containing beta-amyloid."
Andersen-Tawil syndrome,['KCNJ2'],MESH:D050030,DOID:0050434,"A long QT syndrome that has_material_basis_in autosomal dominant inheritance of a mutation in the KCNJ2 gene which disrupts the rhythm of the heart's lower chambers (ventricular arrhythmia) and results_in an unusually small lower jaw (micrognathia), low-set ears, and an abnormal curvature of the fingers called clinodactyly."
Angelman syndrome,['UBE3A'],MESH:D017204,DOID:1932,"A syndrome that is characterized by delayed development, intellectual disability, severe speech impairment, and problems with movement and balance."
Arts syndrome,"['PITX2', 'PRPS1']",MESH:C535388,DOID:0050647,"An X-linked disease that is characterized by profound congenital sensorineural hearing impairment, early-onset hypotonia, delayed motor development, mild to moderate intellectual disability, ataxia, and increased risk of infection and has_material_basis_in mutations of the PRPS1 gene."
Asperger syndrome,"['SLC25A12', 'DISC1']",MESH:D020817,DOID:0050432,"An autism spectrum disorder that is characterized by significant difficulties in social interaction, along with restricted and repetitive patterns of behavior and interests. It differs from other autism spectrum disorders by its relative preservation of linguistic and cognitive development."
Axenfeld-Rieger syndrome,"['PITX2', 'FOXC1']",MESH:C535679,DOID:14686,"An eye disease characterized by abnormalities of the front part of the eye, the anterior segment."
Ayme-Gripp syndrome,['MAF'],MESH:C563390,DOID:0111688,"A syndrome characterized by congenital cataracts, sensorineural hearing loss, intellectual disability, seizures, brachycephaly, a distinctive flat facial appearance, and reduced growth that has_material_basis_in heterozygous mutation in MAF on chromosome 16q23.2."
B-cell lymphoma,"['BRD2', 'BCL6', 'CD40', 'BTK', 'EZH2', 'ABCG2']",MESH:D016393,DOID:707,A non-Hodgkin lymphoma that has_material_basis_in B cells.
BASAN syndrome,['SMARCAD1'],MESH:C537659,DOID:0080725,An ectodermal dysplasia that is characterized by neonatal blisters and milia and congenital absence of dermatoglyphics on the hands and feet.
BH4-deficient hyperphenylalaninemia A,['PTS'],MESH:C535325,DOID:0090106,"A tetrahydrobiopterin (BH4)-deficient hyperphenylalaninemia that is characterized by hyperphenylalaninemia, depletion of the neurotransmitters dopamine and serotonin, and progressive cognitive and motor deficits that has_material_basis_in autosomal recessive inheritance of mutation in the gene encoding 6-pyruvoyl-tetrahydropterin synthase (PTS) on chromosome 11q23.1."
Baller-Gerold syndrome,['RECQL4'],MESH:C536788,DOID:0050654,"A synostosis characterized by coronal craniosynostosis, short stature, and aplasia or hypoplasia of the radial bone."
Bannayan-Riley-Ruvalcaba syndrome,[],MESH:D006223,DOID:0050657,"A Cowden syndrome that is characterized by macrocephaly, multiple noncancerous tumors and hamartomas, and dark freckles on the penis, and has_material_basis_in heterozygous germline mutation in the PTEN gene on chromosome 10q23."
Barber-Say syndrome,[],MESH:C537908,DOID:0060549,"A syndrome characterized by d by the association of excessive hair growth (hypertrichosis), papery thin and fragile (atrophic) skin, outward turned eyelids (ectropion) and a large mouth (macrostomia). It is that has_material_basis_in heterozygous mutation in the TWIST2 gene on chromosome 2q37."
Bardet-Biedl syndrome,"['BBS7', 'TTC8', 'BBS1', 'MKKS', 'BBS10', 'TRIM32', 'TMEM67', 'CCDC28B', 'MKS1', 'BBS2', 'BBS5', 'BBS9', 'NPHP1']",MESH:D020788,DOID:1935,"A syndrome that results from mutations in multiple BBS genes affecting cellular cilia structure or function (ciliopathy) resulting in variable presentation and characterized principally by obesity, retinitis pigmentosa,vision loss, polydactyly, mental retardation, hypogonadism, and renal failure in some cases."
Bardet-Biedl syndrome 1,"['CCDC28B', 'BBS1']",MESH:C537909,DOID:0110123,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the BBS1 gene on chromosome 11q13.
Bardet-Biedl syndrome 10,['BBS10'],MESH:C565919,DOID:0110132,A Bardet-Biedl syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the BBS10 gene on chromosome 12q21.
Bardet-Biedl syndrome 11,['TRIM32'],MESH:C565920,DOID:0110133,A Bardet-Biedl syndrome that has_material_basis_in mutation in the TRIM32 gene on chromosome 9q33.
Bardet-Biedl syndrome 12,['BBS12'],MESH:C565921,DOID:0110134,A Bardet-Biedl syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the BBS12 gene on chromosome 4q27.
Bardet-Biedl syndrome 13,['MKS1'],MESH:C567140,DOID:0110135,A Bardet-Biedl syndrome that has_material_basis_in compound heterozygous mutation in the MKS1 gene on chromosome 17q22.
Bardet-Biedl syndrome 14,"['TMEM67', 'CEP290']",MESH:C567141,DOID:0110136,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the CEP290 gene on chromosome 12q21.
Bardet-Biedl syndrome 2,['BBS2'],MESH:C537910,DOID:0110124,A Bardet-Biedl syndrome that has_material_basis_in homozygous or compound heterozygous mutations in the BBS2 gene on chromosome 16q13.
Bardet-Biedl syndrome 3,[],MESH:C537911,DOID:0110125,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the ARL6 gene on chromosome 3q11.
Bardet-Biedl syndrome 4,['BBS4'],MESH:C537912,DOID:0110126,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the BBS4 gene on chromosome 15q24.
Bardet-Biedl syndrome 6,['MKKS'],MESH:C565738,DOID:0110128,A Bardet-Biedl syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the MKKS gene on chromosome 20p12.
Bardet-Biedl syndrome 7,['BBS7'],MESH:C565916,DOID:0110129,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the BBS7 gene on chromosome 4q27.
Bardet-Biedl syndrome 8,['TTC8'],MESH:C565917,DOID:0110130,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the TTC8 gene on chromosome 14q31.
Bardet-Biedl syndrome 9,['BBS9'],MESH:C565918,DOID:0110131,A Bardet-Biedl syndrome that has_material_basis_in homozygosity or compound heterozygosity for mutations in the PTHB1 gene on chromosome 7p14.
Barrett's esophagus,"['CTHRC1', 'ASCC1', 'ZNF793', 'GPX7', 'MMP1', 'FOXP1', 'VDR', 'GPX3', 'MMP12', 'MSR1']",MESH:D001471,DOID:9206,An esophageal disease characterized by a change of normal esophageal squamous epithelium to a columnar and intestinal-type epithelium.
Barth syndrome,['TAFAZZIN'],MESH:D056889,DOID:0050476,A 3-methylglutaconic aciduria that has_material_basis_in X-linked inheritance of the tafazzin gene and is characterized by decreased production of an enzyme required to produce cardiolipin.
Beckwith-Wiedemann syndrome,['CDKN1C'],MESH:D001506,DOID:5572,"A syndrome characterized by overgrowth (macrosomia), an increased risk of childhood cancer and congenital malformations."
Behcet's disease,"['CCR5', 'ICAM1', 'NAT2', 'NOD2', 'TLR4', 'IL10', 'HLA-B', 'VDR', 'ACE', 'TLR2', 'ITGA2', 'SLC11A1', 'CTLA4', 'TGFB1', 'MBL2', 'HLA-DRB1', 'IL2', 'PTPN22', 'IRF8', 'CCL2', 'NOS3', 'IL18', 'IKBKG', 'DHCR7', 'CYP1A1', 'IL23R', 'VIM', 'FCGR3A', 'STAT4', 'ABCB1', 'PROZ', 'STAT3', 'IL4']",MESH:D001528,DOID:13241,"A vasculitis that is characterized by an autoimmune mediated inflammation of the blood vessels throughout the body leading to ulcerations on the mouth and sometimes the genitals, notorious for causing hypopyon uveitis."
Behr syndrome,['OPA1'],MESH:C537669,DOID:0111580,"A nervous system disease characterized by early-onset optic atrophy, ataxia, pyramidal signs, spasticity, and intellectual disability that has_material_basis_in homozygous or compound heterozygous mutation in the OPA1 gene on chromosome 3q29."
Bernard-Soulier syndrome,"['GP9', 'GP1BB', 'GP1BA']",MESH:D001606,DOID:2217,"A blood coagulation disease characterized by autosomal recessive inheritance of mucosal bleeding, purpuric skin bleeding, epistaxis, and menorrhagia with prolonged bleeding times, enlarged platelets and absence of platelet aggregation in response to von Willebrand factor that has_material_basis_in mutation in the GP1BA gene, the GP1BB gene, or the GP9 gene which are subunits of the platelet membrane von Willebrand factor receptor complex, glycoprotein Ib."
Bethlem myopathy,"['COL6A1', 'COL12A1', 'COL6A3']",MESH:C535436,DOID:0050663,"A congenital muscular dystrophy that is characterized by myopathy and joint contractures that progresses slowly, has_material_basis_in autosomal dominant inheritance of heterozygous mutation in the COL6A1 gene, the COL6A2 gene, or the COL6A3 gene."
Beukes hip dysplasia,[],MESH:C564185,DOID:0111367,An osteoarthritis characterized by bilateral dysmorphism of the proximal femur resulting in severe progressive degenerative osteoarthritis of the hip joint in early adulthood that has_material_basis_in heterozygous mutation in UFSP2 on chromosome 4q35.1.
Birk-Barel syndrome,['KCNK9'],MESH:C567357,DOID:0050675,"A syndrome that is characterized by intellectual disability, hypotonia, hyperactivity and facies, has_material_basis_in heterozygous mutation in the KCNK9 gene on chromosome 8q24."
Birt-Hogg-Dube syndrome,['FLCN'],MESH:D058249,DOID:0050676,"A skin disease that is characterized by hair follicle hamartomas, kidney tumors, and spontaneous pneumothorax, has_material_basis_in heterozygous mutation in the gene encoding folliculin (FLCN) on chromosome 17p11."
Bjornstad syndrome,['BCS1L'],MESH:C537633,DOID:0050677,"A syndrome that is characterized by early onset of hearing loss and hair loss due to pili torti, has_material_basis_in homozygous or compound heterozygous mutation in the BCS1L gene on chromosome 2q35."
Blau syndrome,['NOD2'],MESH:C538157,DOID:0050678,"A syndrome characterized by familial granulomatous arthritis, uveitis and skin granulomas. It has_material_basis_in heterozygous mutations in the NOD2 gene."
